Time, GyroscopeX, GyroscopeY, GyroscopeZ 
0.0, -8.05, -4.31, 3.078
0.010526315789473684, -7.7, -4.411, 2.847
0.021052631578947368, -7.28, -4.724, 3.005
0.031578947368421054, -6.72, -4.772, 3.281
0.042105263157894736, -5.67, -5.36, 3.391
0.05263157894736842, -4.9, -6.345, 4.141
0.06315789473684211, -4.27, -6.731, 4.713
0.07368421052631578, -3.64, -7.006, 4.664
0.08421052631578947, -3.78, -7.169, 4.778
0.09473684210526316, -4.13, -7.023, 5.159
0.10526315789473684, -4.48, -6.978, 4.101
0.11578947368421053, -5.04, -6.297, 2.657
0.12631578947368421, -5.81, -5.912, 2.085
0.1368421052631579, -6.37, -4.667, 0.67
0.14736842105263157, -7.49, -4.014, -0.21
0.15789473684210525, -7.98, -3.293, 0.13
0.16842105263157894, -8.68, -2.688, 0.734
0.17894736842105263, -8.33, -2.165, 0.187
0.18947368421052632, -7.49, -1.18, -0.563
0.2, -5.88, -0.791, -0.353
0.21052631578947367, -3.99, -0.401, -0.142
0.22105263157894736, -2.66, -0.296, -0.337
0.23157894736842105, -1.82, -0.126, -0.093
0.24210526315789474, -1.47, -0.154, 0.47
0.25263157894736843, -2.31, -0.401, 1.067
0.2631578947368421, -3.29, -0.908, 2.328
0.2736842105263158, -4.9, -1.528, 3.427
0.28421052631578947, -6.72, -1.248, 4.258
0.29473684210526313, -8.26, -1.147, 4.489
0.30526315789473685, -10.08, -0.94, 5.734
0.3157894736842105, -11.13, -0.802, 8.175
0.3263157894736842, -11.48, -0.684, 10.328
0.3368421052631579, -11.55, -0.963, 13.122
0.3473684210526316, -11.97, -0.578, 13.759
0.35789473684210527, -12.18, 0.217, 13.686
0.3684210526315789, -12.25, 0.922, 13.312
0.37894736842105264, -12.04, 1.591, 13.146
0.3894736842105263, -10.99, 2.224, 11.978
0.4, -8.68, 2.645, 9.991
0.4105263157894737, -5.81, 3.48, 6.869
0.42105263157894735, -1.68, 4.469, 3.276
0.43157894736842106, 2.03, 5.393, 0.453
0.4421052631578947, 5.46, 5.251, -0.354
0.45263157894736844, 7.98, 5.32, -0.341
0.4631578947368421, 9.1, 4.513, -0.199
0.47368421052631576, 8.33, 3.443, -0.175
0.4842105263157895, 5.88, 1.873, 0.259
0.49473684210526314, 2.87, 0.726, 1.123
0.5052631578947369, 0.35, -0.284, 2.011
0.5157894736842106, -2.24, -1.508, 2.506
0.5263157894736842, -4.9, -2.826, 3.127
0.5368421052631579, -6.51, -3.836, 2.807
0.5473684210526316, -6.93, -4.464, 2.34
0.5578947368421052, -7.42, -4.858, 1.347
0.5684210526315789, -7.56, -5.527, 0.305
0.5789473684210527, -7.14, -6.314, -0.474
0.5894736842105263, -6.93, -6.967, -0.802
0.6, -7.49, -7.672, -1.637
0.6105263157894737, -7.98, -8.727, -2.107
0.6210526315789474, -8.12, -9.238, -2.837
0.631578947368421, -8.12, -9.363, -2.93
0.6421052631578947, -8.82, -9.591, -3.255
0.6526315789473685, -9.73, -9.761, -3.498
0.6631578947368421, -10.29, -10.126, -3.847
0.6736842105263158, -10.85, -10.402, -3.895
0.6842105263157895, -11.55, -10.414, -3.826
0.6947368421052632, -12.18, -10.637, -3.368
0.7052631578947368, -12.04, -10.961, -3.141
0.7157894736842105, -12.6, -11.772, -2.573
0.7263157894736842, -12.39, -12.048, -1.414
0.7368421052631579, -12.39, -12.376, -0.761
0.7473684210526316, -12.32, -12.412, -0.554
0.7578947368421053, -12.39, -12.161, -0.367
0.7684210526315789, -12.88, -12.153, -0.01
0.7789473684210526, -12.53, -11.269, 0.216
0.7894736842105263, -12.25, -10.49, 0.638
0.8, -11.76, -9.598, 1.222
0.8105263157894737, -11.48, -8.483, 1.347
0.8210526315789474, -10.78, -7.112, 1.234
0.8315789473684211, -10.15, -6.184, 1.611
0.8421052631578947, -9.31, -4.683, 1.164
0.8526315789473684, -8.89, -2.94, 0.548
0.8631578947368421, -8.54, -0.985, -0.458
0.8736842105263158, -8.26, 0.71, -0.799
0.8842105263157894, -7.84, 2.615, -0.321
0.8947368421052632, -7.98, 4.509, 0.226
0.9052631578947369, -8.19, 6.646, 0.603
0.9157894736842105, -7.7, 7.98, 1.905
0.9263157894736842, -7.14, 9.023, 3.652
0.9368421052631579, -5.39, 9.319, 5.197
0.9473684210526315, -3.22, 9.019, 6.495
0.9578947368421052, -0.98, 7.957, 8.085
0.968421052631579, 1.47, 6.761, 9.224
0.9789473684210527, 3.29, 4.446, 10.664
0.9894736842105263, 4.97, 2.601, 12.258
1.0, 5.67, 1.153, 13.211
1.0105263157894737, 5.53, 0.148, 13.673
1.0210526315789474, 4.62, -0.833, 13.998
1.0315789473684212, 3.5, -1.288, 13.349
1.0421052631578946, 2.94, -1.507, 12.173
1.0526315789473684, 2.31, -1.393, 11.127
1.063157894736842, 2.17, -1.13, 10.036
1.0736842105263158, 1.82, -1.065, 9.266
1.0842105263157895, 1.05, -0.627, 7.992
1.0947368421052632, 0.63, -0.238, 6.995
1.105263157894737, 0.0, 0.033, 6.261
1.1157894736842104, -0.49, 0.212, 5.653
1.1263157894736842, -1.05, 0.41, 4.124
1.1368421052631579, -1.61, 0.56, 2.871
1.1473684210526316, -2.38, 0.965, 1.379
1.1578947368421053, -2.45, 1.46, 0.186
1.168421052631579, -2.03, 2.287, -0.876
1.1789473684210525, -1.75, 2.591, -1.391
1.1894736842105262, -1.12, 3.029, -1.456
1.2, -0.21, 3.329, -1.545
1.2105263157894737, 0.42, 2.749, -1.079
1.2210526315789474, 1.19, 2.469, -0.702
1.231578947368421, 1.96, 1.699, -0.767
1.2421052631578948, 1.82, 1.067, 0.401
1.2526315789473683, 2.1, 0.6, 1.03
1.263157894736842, 3.15, 0.175, 1.026
1.2736842105263158, 3.99, -0.032, 0.989
1.2842105263157895, 5.04, -0.109, 0.62
1.2947368421052632, 6.23, -0.478, 0.698
1.305263157894737, 7.63, -0.823, 0.637
1.3157894736842106, 8.75, -1.066, 0.807
1.3263157894736841, 9.03, -1.658, 1.342
1.3368421052631578, 8.68, -2.283, 1.659
1.3473684210526315, 7.91, -3.057, 2.02
1.3578947368421053, 6.16, -3.625, 2.417
1.368421052631579, 4.62, -4.071, 2.125
1.3789473684210527, 2.8, -4.748, 1.935
1.3894736842105264, 1.61, -4.902, 2.405
1.4, 0.7, -4.598, 3.099
1.4105263157894736, -0.07, -4.172, 3.103
1.4210526315789473, -0.56, -3.937, 3.784
1.431578947368421, -0.91, -3.142, 4.919
1.4421052631578948, -1.4, -2.68, 5.925
1.4526315789473685, -1.47, -2.606, 6.719
1.4631578947368422, -1.47, -2.663, 6.638
1.4736842105263157, -0.98, -2.456, 6.675
1.4842105263157894, -0.49, -2.262, 6.78
1.4947368421052631, 0.07, -2.294, 6.561
1.5052631578947369, 0.91, -2.197, 6.01
1.5157894736842106, 1.75, -2.088, 5.389
1.5263157894736843, 2.52, -2.363, 5.341
1.5368421052631578, 2.73, -2.404, 4.765
1.5473684210526315, 3.01, -2.55, 4.384
1.5578947368421052, 3.08, -2.943, 4.599
1.568421052631579, 2.66, -2.838, 4.404
1.5789473684210527, 2.31, -2.672, 3.865
1.5894736842105264, 2.03, -2.441, 3.763
1.6, 1.54, -2.339, 2.786
1.6105263157894736, 1.05, -2.003, 2.49
1.6210526315789473, 0.91, -1.33, 1.898
1.631578947368421, 0.56, -0.855, 1.626
1.6421052631578947, 0.14, -0.421, 1.987
1.6526315789473685, -0.14, -0.194, 2.311
1.6631578947368422, -0.28, 0.041, 2.993
1.6736842105263159, -0.49, 0.515, 2.721
1.6842105263157894, -0.42, 1.14, 2.404
1.694736842105263, -0.42, 1.278, 2.429
1.7052631578947368, -0.21, 1.647, 2.352
1.7157894736842105, -0.28, 1.894, 1.756
1.7263157894736842, 0.0, 1.926, 1.975
1.736842105263158, 0.21, 1.533, 2.189
1.7473684210526317, 0.49, 0.759, 2.55
1.7578947368421052, 0.63, 0.56, 2.871
1.768421052631579, 0.63, -0.077, 3.256
1.7789473684210526, 0.91, -0.523, 2.964
1.7894736842105263, 0.77, -0.847, 3.191
1.8, 0.49, -1.147, 3.281
1.8105263157894738, 0.14, -1.792, 3.309
1.8210526315789475, 0.21, -2.031, 3.054
1.831578947368421, 0.21, -2.177, 2.673
1.8421052631578947, 0.35, -2.441, 2.555
1.8526315789473684, 0.0, -2.741, 2.644
1.8631578947368421, -0.07, -2.992, 2.458
1.8736842105263158, -0.21, -3.13, 2.433
1.8842105263157896, -0.42, -3.292, 2.547
1.894736842105263, -0.49, -4.103, 1.906
1.9052631578947368, -0.35, -4.148, 1.756
1.9157894736842105, -0.49, -4.331, 1.582
1.9263157894736842, -0.56, -4.529, 1.902
1.936842105263158, -0.63, -4.359, 2.146
1.9473684210526316, -0.49, -4.626, 2.454
1.9578947368421054, -0.42, -4.318, 2.722
1.9684210526315788, -0.7, -4.493, 2.904
1.9789473684210526, -0.56, -4.01, 2.989
1.9894736842105263, -0.28, -3.41, 2.811
2.0, -0.07, -3.033, 3.09
2.0105263157894737, 0.0, -2.4, 3.131
2.0210526315789474, 0.07, -1.784, 2.458
2.031578947368421, 0.35, -1.488, 2.794
2.042105263157895, 0.56, -1.139, 2.429
2.0526315789473686, 0.49, -0.527, 2.182
2.0631578947368423, 0.77, -0.166, 2.956
2.0736842105263156, 0.77, 0.24, 2.672
2.0842105263157893, 0.63, 0.475, 2.145
2.094736842105263, 0.49, 0.657, 2.319
2.1052631578947367, 0.56, 0.832, 2.137
2.1157894736842104, 0.35, 0.807, 2.275
2.126315789473684, 0.28, 1.083, 2.323
2.136842105263158, 0.07, 1.071, 2.392
2.1473684210526316, 0.28, 0.815, 2.632
2.1578947368421053, 0.21, 0.734, 2.688
2.168421052631579, 0.07, 0.572, 2.802
2.1789473684210527, 0.35, 0.596, 2.664
2.1894736842105265, 0.42, 0.58, 1.95
2.2, 0.7, 0.454, 1.857
2.210526315789474, 0.56, 0.029, 1.853
2.221052631578947, 0.84, -0.04, 1.841
2.231578947368421, 1.19, -0.259, 1.873
2.2421052631578946, 0.98, -0.247, 1.805
2.2526315789473683, 1.12, -0.454, 1.768
2.263157894736842, 0.98, -0.503, 2.044
2.2736842105263158, 0.56, -0.64, 2.019
2.2842105263157895, 0.42, -0.859, 2.052
2.294736842105263, 0.21, -0.79, 2.064
2.305263157894737, 0.07, -0.758, 2.283
2.3157894736842106, 0.0, -0.77, 2.352
2.3263157894736843, -0.21, -0.584, 2.101
2.336842105263158, 0.0, -0.689, 2.295
2.3473684210526318, 0.14, -0.462, 2.62
2.357894736842105, 0.0, -0.263, 2.299
2.3684210526315788, 0.0, -0.101, 2.186
2.3789473684210525, 0.07, 0.0, 2.417
2.389473684210526, 0.0, -0.109, 3.037
2.4, 0.0, -0.194, 3.52
2.4105263157894736, 0.0, 0.057, 3.706
2.4210526315789473, -0.14, 0.151, 3.581
2.431578947368421, -0.42, 0.576, 3.585
2.442105263157895, -0.21, 0.592, 3.09
2.4526315789473685, -0.07, 0.637, 3.24
2.463157894736842, 0.0, 0.588, 3.516
2.473684210526316, 0.14, 0.751, 3.402
2.4842105263157896, 0.21, 0.576, 3.585
2.4947368421052634, 0.21, 0.219, 3.593
2.5052631578947366, 0.14, 0.333, 3.755
2.5157894736842104, 0.21, 0.155, 4.363
2.526315789473684, 0.21, 0.126, 3.718
2.536842105263158, -0.14, -0.137, 3.601
2.5473684210526315, -0.14, 0.033, 3.844
2.557894736842105, 0.0, -0.21, 4.014
2.568421052631579, -0.35, -0.348, 3.99
2.5789473684210527, -0.49, -0.417, 3.978
2.5894736842105264, -0.49, -0.579, 4.092
2.6, -0.77, -0.531, 3.816
2.610526315789474, -0.77, -0.794, 3.698
2.6210526315789475, -1.4, -0.952, 3.386
2.6315789473684212, -1.4, -0.944, 3.743
2.642105263157895, -1.61, -0.847, 3.191
2.6526315789473682, -1.54, -0.709, 3.216
2.663157894736842, -1.54, -0.733, 3.354
2.6736842105263157, -1.12, -0.409, 3.126
2.6842105263157894, -1.26, -0.202, 3.163
2.694736842105263, -1.12, -0.06, 2.761
2.705263157894737, -1.12, 0.081, 2.36
2.7157894736842105, -1.26, -0.117, 2.68
2.7263157894736842, -1.75, -0.462, 2.62
2.736842105263158, -1.47, -0.292, 2.863
2.7473684210526317, -1.47, -0.3, 2.506
2.7578947368421054, -1.47, -0.288, 2.437
2.768421052631579, -1.33, -0.413, 2.344
2.778947368421053, -1.33, -0.312, 2.575
2.789473684210526, -1.4, -0.251, 2.23
2.8, -1.4, -0.02, 2.129
2.8105263157894735, -1.47, -0.101, 2.186
2.8210526315789473, -1.33, -0.125, 2.324
2.831578947368421, -1.54, 0.183, 2.591
2.8421052631578947, -1.54, 0.702, 2.469
2.8526315789473684, -1.61, 0.402, 2.559
2.863157894736842, -1.26, 0.6, 2.238
2.873684210526316, -0.7, 1.014, 2.311
2.8842105263157896, -0.56, 0.957, 2.23
2.8947368421052633, -0.56, 0.645, 2.388
2.905263157894737, -0.42, 0.678, 2.607
2.9157894736842107, -0.35, 0.341, 2.903
2.9263157894736844, -0.42, 0.086, 3.143
2.9368421052631577, -0.63, -0.202, 3.163
2.9473684210526314, -0.7, -0.105, 2.611
2.957894736842105, -0.91, -0.174, 2.599
2.968421052631579, -1.12, -0.36, 2.851
2.9789473684210526, -1.12, -0.324, 2.644
2.9894736842105263, -0.84, -0.336, 2.713
3.0, -0.98, -0.138, 2.392
3.0105263157894737, -1.12, -0.312, 2.575
3.0210526315789474, -1.4, -0.498, 2.826
3.031578947368421, -1.33, -0.486, 2.757
3.042105263157895, -1.54, -0.409, 3.126
3.0526315789473686, -1.61, -0.235, 2.944
3.0631578947368423, -1.47, -0.279, 2.794
3.0736842105263156, -1.4, -0.162, 2.53
3.0842105263157893, -1.4, -0.085, 2.899
3.094736842105263, -1.12, -0.085, 2.899
3.1052631578947367, -1.19, -0.271, 3.151
3.1157894736842104, -1.26, -0.336, 2.713
3.126315789473684, -1.12, -0.198, 2.737
3.136842105263158, -0.84, 0.045, 2.567
3.1473684210526316, -0.84, -0.3, 2.506
3.1578947368421053, -0.77, -0.186, 2.668
3.168421052631579, -0.77, -0.016, 2.911
3.1789473684210527, -0.84, -0.287, 3.645
3.1894736842105265, -0.7, -0.255, 3.864
3.2, -0.7, -0.133, 3.175
3.210526315789474, -0.77, -0.109, 3.037
3.221052631578947, -0.49, -0.004, 2.843
3.231578947368421, -0.42, -0.036, 2.624
3.2421052631578946, -0.35, -0.202, 3.163
3.2526315789473683, -0.35, -0.235, 2.944
3.263157894736842, -0.28, -0.142, 2.818
3.2736842105263158, -0.28, -0.028, 2.98
3.2842105263157895, -0.21, 0.179, 3.017
3.294736842105263, -0.14, -0.121, 3.106
3.305263157894737, -0.35, 0.199, 3.305
3.3157894736842106, -0.42, -0.032, 3.406
3.3263157894736843, -0.35, 0.061, 3.28
3.336842105263158, -0.49, -0.02, 3.337
3.3473684210526318, -0.42, -0.251, 3.439
3.357894736842105, -0.7, -0.32, 3.427
3.3684210526315788, -0.49, -0.32, 3.427
3.3789473684210525, -0.42, -0.352, 3.208
3.389473684210526, -0.35, -0.328, 3.07
3.4, -0.35, -0.385, 2.989
3.4105263157894736, -0.35, -0.129, 2.749
3.4210526315789473, -0.14, -0.036, 2.624
