Time, AccelerometerX, AccelerometerY, AccelerometerZ 
7.26, 0.039, -10.066, 0.615
7.27, 0.039, -10.091, 0.531
7.28, 0.0, -10.123, 0.485
7.29, -0.078, -10.112, 0.647
7.3, -0.078, -10.112, 0.647
7.31, -0.078, -10.091, 0.531
7.32, -0.078, -10.105, 0.608
7.33, -0.078, -10.06, 0.576
7.34, -0.078, -10.112, 0.647
7.35, -0.118, -10.098, 0.569
7.36, -0.118, -10.098, 0.569
7.37, -0.118, -10.098, 0.569
7.38, -0.118, -10.116, 0.447
7.39, -0.118, -10.169, 0.517
7.4, -0.118, -10.203, 0.71
7.41, -0.118, -10.091, 0.531
7.42, -0.157, -10.137, 0.563
7.43, -0.118, -10.098, 0.569
7.44, -0.157, -10.105, 0.608
7.45, -0.157, -10.13, 0.524
7.46, -0.118, -10.137, 0.563
7.47, -0.118, -10.091, 0.531
7.48, -0.078, -10.098, 0.569
7.49, -0.078, -10.144, 0.601
7.5, -0.078, -10.13, 0.524
7.51, -0.118, -10.085, 0.492
7.52, -0.118, -10.112, 0.647
7.53, -0.078, -10.123, 0.485
7.54, -0.118, -10.15, 0.64
7.55, -0.078, -10.091, 0.531
7.56, -0.118, -10.06, 0.576
7.57, -0.078, -10.091, 0.531
7.58, -0.078, -10.137, 0.563
7.59, -0.118, -10.157, 0.679
7.6, -0.118, -10.091, 0.531
7.61, -0.118, -10.098, 0.569
7.62, -0.078, -10.137, 0.563
7.63, -0.118, -10.116, 0.447
7.64, -0.118, -10.182, 0.594
7.65, -0.118, -10.137, 0.563
7.66, -0.118, -10.13, 0.524
7.67, -0.118, -10.091, 0.531
7.68, -0.078, -10.098, 0.569
7.69, -0.078, -10.098, 0.569
7.7, -0.078, -10.112, 0.647
7.71, -0.078, -10.105, 0.608
7.72, -0.078, -10.073, 0.654
7.73, -0.078, -10.105, 0.608
7.74, -0.039, -10.066, 0.615
7.75, -0.039, -10.091, 0.531
7.76, -0.039, -10.137, 0.563
7.77, 0.0, -10.144, 0.601
7.78, 0.0, -10.105, 0.608
7.79, 0.0, -10.066, 0.615
7.8, 0.0, -10.066, 0.615
7.81, -0.039, -10.053, 0.538
7.82, -0.039, -10.123, 0.485
7.83, -0.078, -10.098, 0.569
7.84, -0.039, -10.098, 0.569
7.85, -0.078, -10.105, 0.608
7.86, -0.078, -10.13, 0.524
7.87, -0.078, -10.085, 0.492
7.88, -0.118, -10.085, 0.492
7.89, -0.078, -10.13, 0.524
7.9, -0.078, -10.116, 0.447
7.91, -0.039, -10.091, 0.531
7.92, -0.078, -10.157, 0.679
7.93, -0.039, -10.144, 0.601
7.94, 0.0, -10.144, 0.601
7.95, -0.078, -10.137, 0.563
7.96, -0.078, -10.137, 0.563
7.97, -0.078, -10.13, 0.524
7.98, -0.078, -10.157, 0.679
7.99, -0.078, -10.137, 0.563
8.0, -0.039, -10.13, 0.524
8.01, -0.078, -10.091, 0.531
8.02, -0.078, -10.098, 0.569
8.03, -0.078, -10.091, 0.531
8.04, -0.039, -10.06, 0.576
8.05, -0.039, -10.06, 0.576
8.06, -0.078, -10.0, 0.467
8.07, -0.078, -10.035, 0.66
8.08, -0.078, -10.028, 0.622
8.09, -0.078, -10.091, 0.531
8.1, -0.118, -10.06, 0.576
8.11, -0.118, -10.105, 0.608
8.12, -0.157, -10.078, 0.454
8.13, -0.118, -10.144, 0.601
8.14, -0.118, -10.098, 0.569
8.15, -0.118, -10.105, 0.608
8.16, -0.078, -10.15, 0.64
8.17, -0.118, -10.144, 0.601
8.18, -0.078, -10.119, 0.685
8.19, -0.078, -10.071, 0.415
8.2, -0.039, -10.105, 0.608
8.21, -0.039, -10.112, 0.647
8.22, 0.0, -10.157, 0.679
8.23, 0.0, -10.085, 0.492
8.24, -0.039, -10.112, 0.647
8.25, -0.039, -10.06, 0.576
8.26, -0.078, -10.091, 0.531
8.27, -0.039, -10.091, 0.531
8.28, -0.078, -10.112, 0.647
8.29, -0.039, -10.123, 0.485
8.3, -0.039, -10.137, 0.563
8.31, -0.039, -10.085, 0.492
8.32, -0.078, -10.085, 0.492
8.33, -0.078, -10.137, 0.563
8.34, -0.039, -10.098, 0.569
8.35, -0.039, -10.137, 0.563
8.36, -0.039, -10.105, 0.608
8.37, -0.039, -10.112, 0.647
8.38, -0.078, -10.091, 0.531
8.39, -0.039, -10.105, 0.608
8.4, -0.039, -10.137, 0.563
8.41, -0.039, -10.13, 0.524
8.42, -0.039, -10.105, 0.608
8.43, -0.078, -10.144, 0.601
8.44, -0.078, -10.098, 0.569
8.45, -0.078, -10.182, 0.594
8.46, -0.078, -10.157, 0.679
8.47, -0.078, -10.15, 0.64
8.48, -0.078, -10.105, 0.608
8.49, -0.039, -10.112, 0.647
8.5, -0.039, -10.112, 0.647
8.51, -0.039, -10.137, 0.563
8.52, -0.039, -10.182, 0.594
8.53, 0.0, -10.144, 0.601
8.54, -0.078, -10.098, 0.569
8.55, -0.078, -10.091, 0.531
8.56, -0.118, -10.091, 0.531
8.57, -0.118, -10.085, 0.492
8.58, -0.157, -10.105, 0.608
8.59, -0.157, -10.06, 0.576
8.6, -0.118, -10.105, 0.608
8.61, -0.078, -10.112, 0.647
8.62, -0.039, -10.098, 0.569
8.63, -0.039, -10.091, 0.531
8.64, 0.0, -10.06, 0.576
8.65, -0.039, -10.066, 0.615
8.66, 0.0, -10.053, 0.538
8.67, 0.0, -10.105, 0.608
8.68, 0.0, -10.08, 0.692
8.69, -0.039, -10.105, 0.608
8.7, -0.039, -10.06, 0.576
8.71, 0.0, -10.105, 0.608
8.72, -0.039, -10.164, 0.717
8.73, -0.078, -10.21, 0.749
8.74, -0.078, -10.21, 0.749
8.75, -0.039, -10.137, 0.563
8.76, -0.039, -10.169, 0.517
8.77, -0.039, -10.144, 0.601
8.78, -0.039, -10.105, 0.608
8.79, -0.039, -10.073, 0.654
8.8, 0.0, -10.112, 0.647
8.81, 0.0, -10.112, 0.647
8.82, 0.0, -10.098, 0.569
8.83, 0.0, -10.137, 0.563
8.84, -0.039, -10.137, 0.563
8.85, -0.039, -10.175, 0.556
8.86, -0.039, -10.194, 0.433
8.87, 0.0, -10.164, 0.717
8.88, -0.039, -10.098, 0.569
8.89, -0.039, -10.091, 0.531
8.9, -0.039, -10.144, 0.601
8.91, -0.078, -10.144, 0.601
8.92, -0.078, -10.137, 0.563
8.93, -0.078, -10.137, 0.563
8.94, -0.078, -10.13, 0.524
8.95, -0.078, -10.098, 0.569
8.96, -0.039, -10.098, 0.569
8.97, -0.078, -10.085, 0.492
8.98, -0.078, -10.053, 0.538
8.99, -0.039, -10.06, 0.576
9.0, -0.039, -10.021, 0.583
9.01, -0.039, -10.06, 0.576
9.02, -0.078, -10.06, 0.576
9.03, -0.078, -10.105, 0.608
9.04, -0.078, -10.105, 0.608
9.05, -0.078, -10.091, 0.531
9.06, -0.118, -10.137, 0.563
9.07, -0.118, -10.098, 0.569
9.08, -0.118, -10.112, 0.647
9.09, -0.118, -10.098, 0.569
9.1, -0.078, -10.066, 0.615
9.11, -0.039, -10.06, 0.576
9.12, -0.078, -10.125, 0.724
9.13, -0.118, -10.144, 0.601
9.14, -0.118, -10.137, 0.563
9.15, -0.078, -10.15, 0.64
9.16, -0.039, -10.119, 0.685
9.17, -0.039, -10.119, 0.685
9.18, -0.039, -10.189, 0.633
9.19, -0.039, -10.21, 0.749
9.2, -0.039, -10.144, 0.601
9.21, -0.078, -10.13, 0.524
9.22, -0.078, -10.137, 0.563
9.23, -0.078, -10.144, 0.601
9.24, -0.039, -10.137, 0.563
9.25, -0.039, -10.157, 0.679
9.26, -0.039, -10.098, 0.569
9.27, -0.039, -10.112, 0.647
9.28, -0.039, -10.144, 0.601
9.29, -0.039, -10.119, 0.685
9.3, 0.0, -10.137, 0.563
9.31, -0.039, -10.098, 0.569
9.32, -0.039, -10.105, 0.608
9.33, -0.039, -10.132, 0.763
9.34, -0.039, -10.105, 0.608
9.35, -0.039, -10.13, 0.524
9.36, -0.039, -10.085, 0.492
9.37, -0.039, -10.098, 0.569
9.38, -0.039, -10.091, 0.531
9.39, -0.039, -10.105, 0.608
9.4, -0.078, -10.157, 0.679
9.41, -0.039, -10.182, 0.594
9.42, -0.039, -10.13, 0.524
9.43, -0.039, -10.098, 0.569
9.44, -0.078, -10.098, 0.569
9.45, -0.118, -10.066, 0.615
9.46, -0.078, -10.112, 0.647
9.47, -0.078, -10.112, 0.647
9.48, -0.118, -10.112, 0.647
9.49, -0.078, -10.15, 0.64
9.5, -0.078, -10.119, 0.685
9.51, -0.078, -10.112, 0.647
9.52, -0.039, -10.178, 0.794
9.53, -0.078, -10.112, 0.647
9.54, -0.039, -10.112, 0.647
9.55, -0.039, -10.119, 0.685
9.56, -0.078, -10.119, 0.685
9.57, -0.039, -10.112, 0.647
9.58, 0.0, -10.119, 0.685
9.59, 0.0, -10.098, 0.569
9.6, 0.0, -10.137, 0.563
9.61, 0.039, -10.112, 0.647
9.62, 0.039, -10.098, 0.569
9.63, 0.0, -10.15, 0.64
9.64, 0.0, -10.105, 0.608
9.65, -0.039, -10.087, 0.731
9.66, 0.0, -10.13, 0.524
9.67, 0.0, -10.137, 0.563
9.68, 0.0, -10.13, 0.524
9.69, 0.0, -10.144, 0.601
9.7, 0.0, -10.15, 0.64
9.71, -0.039, -10.112, 0.647
9.72, -0.039, -10.091, 0.531
9.73, -0.039, -10.06, 0.576
9.74, -0.039, -10.105, 0.608
9.75, -0.039, -10.046, 0.499
9.76, 0.0, -10.144, 0.601
9.77, 0.0, -10.098, 0.569
9.78, -0.039, -10.105, 0.608
9.79, 0.039, -10.085, 0.492
9.8, -0.039, -10.139, 0.801
9.81, -0.039, -10.105, 0.608
9.82, 0.0, -10.119, 0.685
9.83, -0.039, -10.137, 0.563
9.84, -0.039, -10.112, 0.647
9.85, -0.039, -10.105, 0.608
9.86, -0.078, -10.105, 0.608
9.87, -0.039, -10.098, 0.569
9.88, -0.039, -10.15, 0.64
9.89, -0.078, -10.144, 0.601
9.9, -0.039, -10.112, 0.647
9.91, -0.078, -10.066, 0.615
9.92, -0.078, -10.08, 0.692
9.93, -0.078, -10.08, 0.692
9.94, -0.078, -10.08, 0.692
9.95, -0.039, -10.105, 0.608
9.96, -0.039, -10.125, 0.724
9.97, -0.039, -10.112, 0.647
9.98, -0.039, -10.15, 0.64
9.99, -0.039, -10.15, 0.64
10.0, -0.039, -10.132, 0.763
10.01, -0.078, -10.171, 0.756
10.02, -0.078, -10.157, 0.679
10.03, -0.078, -10.15, 0.64
10.04, -0.039, -10.13, 0.524
10.05, -0.039, -10.13, 0.524
10.06, -0.118, -10.105, 0.608
10.07, -0.078, -10.105, 0.608
10.08, -0.078, -10.066, 0.615
10.09, -0.039, -10.06, 0.576
10.1, -0.039, -10.066, 0.615
10.11, -0.039, -10.105, 0.608
10.12, -0.039, -10.112, 0.647
10.13, -0.039, -10.098, 0.569
10.14, 0.0, -10.105, 0.608
10.15, 0.0, -10.112, 0.647
10.16, 0.0, -10.06, 0.576
10.17, 0.0, -10.06, 0.576
10.18, 0.0, -10.06, 0.576
10.19, -0.039, -10.028, 0.622
10.2, -0.039, -10.073, 0.654
10.21, -0.039, -10.066, 0.615
10.22, 0.0, -10.098, 0.569
10.23, 0.0, -10.112, 0.647
10.24, 0.0, -10.119, 0.685
10.25, -0.039, -10.112, 0.647
10.26, -0.039, -10.105, 0.608
10.27, 0.0, -10.119, 0.685
10.28, -0.039, -10.105, 0.608
10.29, 0.0, -10.112, 0.647
10.3, 0.0, -10.066, 0.615
10.31, -0.039, -10.125, 0.724
10.32, -0.039, -10.15, 0.64
10.33, -0.039, -10.164, 0.717
10.34, -0.039, -10.105, 0.608
10.35, -0.039, -10.112, 0.647
10.36, -0.039, -10.091, 0.531
10.37, -0.039, -10.15, 0.64
10.38, -0.039, -10.15, 0.64
10.39, -0.039, -10.105, 0.608
10.4, -0.039, -10.073, 0.654
10.41, -0.039, -10.046, 0.499
10.42, -0.039, -10.105, 0.608
10.43, -0.039, -10.073, 0.654
10.44, -0.078, -10.094, 0.769
10.45, -0.078, -10.08, 0.692
10.46, -0.039, -10.073, 0.654
10.47, -0.039, -10.08, 0.692
10.48, -0.039, -10.125, 0.724
10.49, -0.039, -10.119, 0.685
10.5, -0.039, -10.085, 0.492
10.51, 0.0, -10.066, 0.615
10.52, -0.039, -10.119, 0.685
10.53, 0.0, -10.112, 0.647
10.54, 0.0, -10.125, 0.724
10.55, 0.039, -10.073, 0.654
10.56, 0.0, -10.119, 0.685
10.57, 0.039, -10.112, 0.647
10.58, -0.039, -10.098, 0.569
10.59, -0.078, -10.094, 0.769
10.6, 0.0, -10.125, 0.724
10.61, 0.0, -10.119, 0.685
10.62, 0.0, -10.125, 0.724
10.63, 0.0, -10.125, 0.724
10.64, 0.0, -10.073, 0.654
10.65, -0.039, -10.073, 0.654
10.66, -0.039, -10.105, 0.608
10.67, -0.039, -10.066, 0.615
10.68, -0.039, -10.112, 0.647
10.69, -0.039, -10.105, 0.608
10.7, -0.039, -10.112, 0.647
10.71, -0.039, -10.073, 0.654
10.72, -0.039, -10.112, 0.647
10.73, -0.078, -10.098, 0.569
10.74, -0.078, -10.105, 0.608
10.75, -0.039, -10.066, 0.615
10.76, 0.0, -10.06, 0.576
10.77, 0.0, -10.053, 0.538
10.78, 0.0, -10.06, 0.576
10.79, 0.0, -10.073, 0.654
10.8, 0.0, -10.066, 0.615
10.81, 0.0, -10.073, 0.654
10.82, 0.0, -10.035, 0.66
10.83, -0.078, -10.06, 0.576
10.84, -0.078, -10.073, 0.654
10.85, -0.078, -10.119, 0.685
10.86, -0.078, -10.119, 0.685
10.87, -0.078, -10.08, 0.692
10.88, -0.118, -10.112, 0.647
10.89, -0.078, -10.105, 0.608
10.9, -0.078, -10.105, 0.608
10.91, -0.078, -10.132, 0.763
10.92, -0.039, -10.157, 0.679
10.93, -0.039, -10.112, 0.647
10.94, -0.078, -10.125, 0.724
10.95, -0.039, -10.112, 0.647
10.96, 0.0, -10.073, 0.654
10.97, 0.0, -10.119, 0.685
10.98, -0.039, -10.066, 0.615
10.99, 0.039, -10.178, 0.794
11.0, 0.039, -10.15, 0.64
11.01, 0.039, -10.164, 0.717
11.02, 0.039, -10.164, 0.717
11.03, 0.039, -10.15, 0.64
11.04, 0.039, -10.139, 0.801
11.05, 0.0, -10.125, 0.724
11.06, 0.0, -10.144, 0.601
11.07, 0.0, -10.105, 0.608
11.08, 0.0, -10.125, 0.724
11.09, 0.0, -10.125, 0.724
11.1, 0.0, -10.112, 0.647
11.11, -0.039, -10.103, 0.37
11.12, 0.0, -10.119, 0.685
11.13, 0.0, -10.132, 0.763
11.14, 0.039, -10.087, 0.731
11.15, 0.0, -10.125, 0.724
11.16, 0.0, -10.073, 0.654
11.17, 0.039, -10.08, 0.692
11.18, 0.0, -10.119, 0.685
11.19, 0.039, -10.119, 0.685
11.2, 0.039, -10.112, 0.647
11.21, 0.0, -10.112, 0.647
11.22, 0.0, -10.112, 0.647
11.23, -0.039, -10.125, 0.724
11.24, 0.0, -10.073, 0.654
11.25, 0.0, -10.125, 0.724
11.26, 0.0, -10.112, 0.647
11.27, -0.039, -10.073, 0.654
11.28, -0.039, -10.08, 0.692
11.29, 0.0, -10.098, 0.569
11.3, 0.0, -10.112, 0.647
11.31, 0.039, -10.125, 0.724
11.32, 0.039, -10.125, 0.724
11.33, 0.0, -10.139, 0.801
11.34, 0.0, -10.125, 0.724
11.35, 0.0, -10.119, 0.685
11.36, 0.0, -10.1, 0.808
11.37, 0.039, -10.08, 0.692
11.38, 0.0, -10.08, 0.692
11.39, 0.0, -10.132, 0.763
11.4, 0.0, -10.094, 0.769
11.41, 0.0, -10.094, 0.769
11.42, 0.0, -10.125, 0.724
11.43, 0.039, -10.119, 0.685
11.44, 0.039, -10.1, 0.808
11.45, 0.039, -10.08, 0.692
11.46, 0.039, -10.08, 0.692
11.47, 0.039, -10.073, 0.654
11.48, 0.078, -10.087, 0.731
11.49, 0.039, -10.094, 0.769
11.5, 0.039, -10.114, 0.885
11.51, 0.078, -10.094, 0.769
11.52, 0.039, -10.073, 0.654
11.53, 0.078, -10.041, 0.699
11.54, 0.078, -10.08, 0.692
11.55, 0.078, -10.048, 0.738
11.56, 0.078, -10.08, 0.692
11.57, 0.078, -10.087, 0.731
11.58, 0.078, -10.08, 0.692
11.59, 0.078, -10.087, 0.731
11.6, 0.039, -10.08, 0.692
11.61, 0.0, -10.105, 0.608
11.62, 0.0, -10.08, 0.692
11.63, 0.0, -10.1, 0.808
11.64, 0.0, -10.055, 0.776
11.65, 0.0, -10.021, 0.583
11.66, 0.0, -10.125, 0.724
11.67, -0.039, -10.132, 0.763
11.68, -0.039, -10.112, 0.647
11.69, 0.0, -10.203, 0.71
11.7, 0.0, -10.171, 0.756
11.71, 0.0, -10.146, 0.84
11.72, 0.039, -10.125, 0.724
11.73, 0.039, -10.094, 0.769
11.74, 0.078, -10.08, 0.692
11.75, 0.039, -10.055, 0.776
11.76, 0.0, -10.048, 0.738
11.77, 0.0, -10.048, 0.738
11.78, -0.039, -10.055, 0.776
11.79, 0.0, -10.062, 0.815
11.8, 0.0, -10.062, 0.815
11.81, -0.039, -10.087, 0.731
11.82, 0.0, -10.125, 0.724
11.83, 0.039, -10.087, 0.731
11.84, 0.0, -10.125, 0.724
11.85, 0.0, -10.125, 0.724
11.86, 0.0, -10.087, 0.731
11.87, 0.039, -10.087, 0.731
11.88, 0.039, -10.087, 0.731
11.89, 0.039, -10.055, 0.776
11.9, 0.039, -10.107, 0.847
11.91, 0.078, -10.094, 0.769
11.92, 0.078, -10.087, 0.731
11.93, 0.039, -10.094, 0.769
11.94, 0.078, -10.107, 0.847
11.95, 0.039, -10.062, 0.815
11.96, 0.039, -10.055, 0.776
11.97, 0.039, -10.069, 0.854
11.98, 0.078, -10.055, 0.776
11.99, 0.039, -10.055, 0.776
12.0, 0.078, -10.087, 0.731
12.01, 0.039, -10.1, 0.808
12.02, 0.039, -10.132, 0.763
12.03, 0.078, -10.121, 0.924
12.04, 0.078, -10.069, 0.854
12.05, 0.078, -10.087, 0.731
12.06, 0.039, -10.055, 0.776
12.07, 0.039, -10.062, 0.815
12.08, 0.039, -10.1, 0.808
12.09, 0.078, -10.114, 0.885
12.1, 0.039, -10.132, 0.763
12.11, 0.039, -10.1, 0.808
12.12, 0.118, -10.094, 0.769
12.13, 0.039, -10.107, 0.847
12.14, 0.078, -10.094, 0.769
12.15, 0.078, -10.128, 0.963
12.16, 0.039, -10.121, 0.924
12.17, 0.039, -10.114, 0.885
12.18, 0.0, -10.062, 0.815
12.19, 0.039, -10.146, 0.84
12.2, 0.078, -10.153, 0.879
12.21, 0.078, -10.069, 0.854
12.22, 0.078, -10.1, 0.808
12.23, 0.039, -10.062, 0.815
12.24, 0.039, -10.062, 0.815
12.25, 0.039, -10.055, 0.776
12.26, 0.0, -10.075, 0.892
12.27, 0.039, -10.094, 0.769
12.28, 0.078, -10.1, 0.808
12.29, 0.078, -10.153, 0.879
12.3, 0.078, -10.139, 0.801
12.31, 0.078, -10.107, 0.847
12.32, 0.078, -10.173, 0.994
12.33, 0.078, -10.173, 0.994
12.34, 0.078, -10.1, 0.808
12.35, 0.078, -10.114, 0.885
12.36, 0.118, -10.153, 0.879
12.37, 0.118, -10.114, 0.885
12.38, 0.118, -10.107, 0.847
12.39, 0.039, -10.132, 0.763
12.4, 0.078, -10.094, 0.769
12.41, 0.078, -10.114, 0.885
12.42, 0.039, -10.121, 0.924
12.43, 0.039, -10.107, 0.847
12.44, 0.078, -10.089, 0.969
12.45, 0.078, -10.069, 0.854
12.46, 0.118, -10.087, 0.731
12.47, 0.039, -10.107, 0.847
12.48, 0.039, -10.075, 0.892
12.49, 0.039, -10.075, 0.892
12.5, 0.0, -10.062, 0.815
12.51, -0.039, -10.03, 0.86
12.52, 0.0, -10.037, 0.899
12.53, 0.0, -10.082, 0.931
12.54, 0.039, -10.062, 0.815
12.55, 0.078, -10.107, 0.847
12.56, 0.118, -10.107, 0.847
12.57, 0.078, -10.069, 0.854
12.58, 0.078, -10.062, 0.815
12.59, 0.039, -10.069, 0.854
12.6, 0.0, -10.141, 1.04
12.61, 0.039, -10.094, 0.769
12.62, 0.039, -10.107, 0.847
12.63, 0.039, -10.146, 0.84
12.64, 0.039, -10.153, 0.879
12.65, 0.039, -10.114, 0.885
12.66, 0.078, -10.1, 0.808
12.67, 0.039, -10.087, 0.731
12.68, 0.039, -10.087, 0.731
12.69, 0.039, -10.107, 0.847
12.7, 0.039, -10.048, 0.738
12.71, 0.118, -10.048, 0.738
12.72, 0.078, -10.107, 0.847
12.73, 0.078, -10.055, 0.776
12.74, 0.078, -10.055, 0.776
12.75, 0.078, -10.075, 0.892
12.76, 0.118, -10.055, 0.776
12.77, 0.118, -10.055, 0.776
12.78, 0.078, -10.055, 0.776
12.79, 0.039, -10.075, 0.892
12.8, 0.078, -10.114, 0.885
12.81, 0.039, -10.075, 0.892
12.82, 0.039, -10.1, 0.808
12.83, 0.0, -10.069, 0.854
12.84, 0.0, -10.055, 0.776
12.85, 0.039, -10.114, 0.885
12.86, 0.039, -10.114, 0.885
12.87, 0.039, -10.075, 0.892
12.88, 0.078, -10.114, 0.885
12.89, 0.039, -10.114, 0.885
12.9, 0.039, -10.107, 0.847
12.91, 0.039, -10.121, 0.924
12.92, 0.078, -10.114, 0.885
12.93, 0.078, -10.114, 0.885
12.94, 0.078, -10.121, 0.924
12.95, 0.078, -10.114, 0.885
12.96, 0.039, -10.107, 0.847
12.97, 0.078, -10.114, 0.885
12.98, 0.039, -10.128, 0.963
12.99, 0.078, -10.134, 1.001
13.0, 0.078, -10.082, 0.931
13.01, 0.078, -10.082, 0.931
13.02, 0.078, -10.089, 0.969
13.03, 0.078, -10.153, 0.879
13.04, 0.078, -10.121, 0.924
13.05, 0.118, -10.082, 0.931
13.06, 0.118, -10.062, 0.815
13.07, 0.118, -10.062, 0.815
13.08, 0.078, -10.075, 0.892
13.09, 0.118, -10.075, 0.892
13.1, 0.118, -10.141, 1.04
13.11, 0.118, -10.075, 0.892
13.12, 0.118, -10.094, 0.769
13.13, 0.078, -10.096, 1.008
13.14, 0.078, -10.082, 0.931
13.15, 0.118, -10.089, 0.969
13.16, 0.078, -10.089, 0.969
13.17, 0.078, -10.128, 0.963
13.18, 0.039, -10.1, 0.808
13.19, 0.078, -10.062, 0.815
13.2, 0.039, -10.03, 0.86
13.21, 0.078, -10.082, 0.931
13.22, 0.078, -10.075, 0.892
13.23, 0.118, -10.055, 0.776
13.24, 0.078, -10.082, 0.931
13.25, 0.118, -10.044, 0.938
13.26, 0.078, -10.082, 0.931
13.27, 0.118, -10.082, 0.931
13.28, 0.118, -10.069, 0.854
13.29, 0.157, -10.107, 0.847
13.3, 0.157, -10.128, 0.963
13.31, 0.157, -10.121, 0.924
13.32, 0.118, -10.114, 0.885
13.33, 0.118, -10.1, 0.808
13.34, 0.118, -10.075, 0.892
13.35, 0.078, -10.075, 0.892
13.36, 0.118, -10.044, 0.938
13.37, 0.078, -10.044, 0.938
13.38, 0.118, -10.062, 0.815
13.39, 0.157, -10.089, 0.969
13.4, 0.118, -10.037, 0.899
13.41, 0.118, -10.023, 0.822
13.42, 0.118, -10.069, 0.854
13.43, 0.118, -10.037, 0.899
13.44, 0.157, -10.069, 0.854
13.45, 0.196, -10.089, 0.969
13.46, 0.157, -10.082, 0.931
13.47, 0.157, -10.044, 0.938
13.48, 0.157, -10.064, 1.053
13.49, 0.157, -10.141, 1.04
13.5, 0.118, -10.141, 1.04
13.51, 0.078, -10.041, 0.699
13.52, 0.078, -10.121, 0.924
13.53, 0.118, -10.141, 1.04
13.54, 0.118, -10.141, 1.04
13.55, 0.157, -10.089, 0.969
13.56, 0.157, -10.057, 1.015
13.57, 0.157, -10.05, 0.976
13.58, 0.118, -10.05, 0.976
13.59, 0.118, -10.134, 1.001
13.6, 0.157, -10.141, 1.04
13.61, 0.157, -10.128, 0.963
13.62, 0.118, -10.134, 1.001
13.63, 0.157, -10.141, 1.04
13.64, 0.196, -10.121, 0.924
13.65, 0.235, -10.089, 0.969
13.66, 0.157, -10.141, 1.04
13.67, 0.118, -10.134, 1.001
13.68, 0.118, -10.089, 0.969
13.69, 0.118, -10.128, 0.963
13.7, 0.118, -10.037, 0.899
13.71, 0.118, -10.05, 0.976
13.72, 0.157, -10.05, 0.976
13.73, 0.157, -10.05, 0.976
13.74, 0.157, -10.082, 0.931
13.75, 0.157, -10.089, 0.969
13.76, 0.157, -10.082, 0.931
13.77, 0.157, -10.103, 1.047
13.78, 0.118, -10.048, 0.738
13.79, 0.078, -10.089, 0.969
13.8, 0.078, -10.071, 1.092
13.81, 0.039, -10.044, 0.938
13.82, 0.039, -10.096, 1.008
13.83, 0.078, -10.044, 0.938
13.84, 0.078, -10.103, 1.047
13.85, 0.078, -10.05, 0.976
13.86, 0.118, -10.057, 1.015
13.87, 0.118, -10.096, 1.008
13.88, 0.118, -10.089, 0.969
13.89, 0.078, -10.05, 0.976
13.9, 0.078, -10.05, 0.976
13.91, 0.118, -10.044, 0.938
13.92, 0.078, -10.103, 1.047
13.93, 0.118, -10.096, 1.008
13.94, 0.157, -10.096, 1.008
13.95, 0.157, -10.082, 0.931
13.96, 0.157, -10.05, 0.976
13.97, 0.157, -10.109, 1.085
13.98, 0.118, -10.155, 1.117
13.99, 0.118, -10.134, 1.001
14.0, 0.118, -10.141, 1.04
14.01, 0.118, -10.109, 1.085
14.02, 0.118, -10.064, 1.053
14.03, 0.118, -10.05, 0.976
14.04, 0.118, -10.05, 0.976
14.05, 0.235, -10.012, 0.983
14.06, 0.196, -10.037, 0.899
14.07, 0.196, -10.064, 1.053
14.08, 0.196, -10.103, 1.047
14.09, 0.196, -9.998, 0.906
14.1, 0.118, -10.057, 1.015
14.11, 0.157, -10.103, 1.047
14.12, 0.118, -10.096, 1.008
14.13, 0.118, -10.075, 0.892
14.14, 0.118, -10.071, 1.092
14.15, 0.118, -10.096, 1.008
14.16, 0.157, -10.057, 1.015
14.17, 0.196, -10.116, 1.124
14.18, 0.157, -10.109, 1.085
14.19, 0.118, -10.044, 0.938
14.2, 0.157, -10.064, 1.053
14.21, 0.157, -10.064, 1.053
14.22, 0.157, -10.037, 0.899
14.23, 0.118, -10.057, 1.015
14.24, 0.118, -10.103, 1.047
14.25, 0.118, -10.103, 1.047
14.26, 0.118, -10.134, 1.001
14.27, 0.157, -10.148, 1.079
14.28, 0.157, -10.109, 1.085
14.29, 0.157, -10.141, 1.04
14.3, 0.157, -10.089, 0.969
14.31, 0.157, -10.109, 1.085
14.32, 0.118, -10.096, 1.008
14.33, 0.078, -10.109, 1.085
14.34, 0.078, -10.064, 1.053
14.35, 0.078, -10.075, 0.892
14.36, 0.118, -10.116, 1.124
14.37, 0.157, -10.109, 1.085
14.38, 0.118, -10.064, 1.053
14.39, 0.157, -10.071, 1.092
14.4, 0.157, -10.064, 1.053
14.41, 0.157, -10.071, 1.092
14.42, 0.118, -10.096, 1.008
14.43, 0.039, -10.141, 1.04
14.44, 0.078, -10.155, 1.117
14.45, 0.078, -10.089, 0.969
14.46, 0.118, -10.123, 1.163
14.47, 0.118, -10.071, 1.092
14.48, 0.118, -10.057, 1.015
14.49, 0.118, -10.071, 1.092
14.5, 0.118, -10.116, 1.124
14.51, 0.078, -10.116, 1.124
14.52, 0.078, -10.064, 1.053
14.53, 0.118, -10.078, 1.131
14.54, 0.157, -10.103, 1.047
14.55, 0.235, -10.103, 1.047
14.56, 0.196, -10.039, 1.138
14.57, 0.235, -10.025, 1.06
14.58, 0.275, -10.019, 1.022
14.59, 0.196, -10.032, 1.099
14.6, 0.157, -10.025, 1.06
